X Y W
-90 100 0.5
-10 -100 0.5
110 100 0.5
30 10 0.00356661
40 10 9.13327
60 0 10.0857
50 10 25.078
40 20 0.206177
50 20 0.443499
60 20 6.23372
62.77 49.8209 6.69632
20 100 0.00512
30 100 0.00512
100 100 0.2
60 70 11.3271
64.1 71.8409 8.05305
100 70 5.25777
90 70 20.8681
70 60 12.3227
70 70 8.73568
80 70 23.7866
70 50 8.25194
100 60 2.96555
87.46 61.2809 3.00347
80 60 9.22123
90 60 2.66066
94.63 54.7509 1.01408
80 50 15.2961
90 50 4.80564
90 40 7.35203
80 40 10.1
70 40 9.67683
70 30 11.9305
80 30 6.42105
69 22.4309 3.46625
80 20 10.9891
70 20 20.9771
70 10 4.65631
X The results saved at Tue Mar 29 21:17:33 2022

