X Y W
-130 -100 0.5
-130 -90 0.5
-130 -80 0.5
-130 -10 0.5
20 90 0.5
20 100 0.5
30 90 0.5
30 100 0.5
70 -100 0.5
70 -90 0.5
130 0 0.5
18.99 90 0.4
22.53 77.1209 2.66688
14.48 94.0809 0.0256
20 80 2.10791
10 100 0.00512
12.55 90 0.004096
0 80 17.3594
10 70 34.7836
8.51 27.9527 9.65234
5.92 26.4209 12.4586
-10 10 2.75237
10 0 9.28706
-20 -10 15.7411
-10 -10 17.258
0 -10 15.2789
10 -10 5.68828
20 0 26.3434
10 10 6.75428
20 10 8.87209
10 20 16.8616
30 10 0.00587277
20 20 4.99977
30 20 23.267
20 30 2.174
16.18 33.8209 2.41976
30 30 14.9718
40 30 20.8388
30 40 16.5422
20 70 18.0923
17.08 65.7909 3.37431
26.26 45.5209 5.54793
40 40 1.53394
30 80 0.101219
20 60 4.68316
30 70 11.2687
30 60 11.6945
40 70 22.2583
X The results saved at Tue Mar 29 21:09:53 2022

