X Y W
128.54 90 1
126.78 90 1
125.68 90 1
125.55 90 1
-120 -100 0.5
-20 -100 0.5
20 90 0.5
20 100 0.5
30 -10 0.5
30 40 0.5
120 70 19.345
118.98 67.2109 18.2973
120 60 14.473
120.68 49.9609 19.1104
120 50 3.33832
120 40 5.09731
130 80 3.19989
130 70 19.8776
130 60 14.3203
130 30 3.60325
130 50 7.23971
130 40 12.6112
150 40 14.8128
140 40 27.5383
130 90 0.032
130 100 0.002048
130.24 90 0.0016384
143.45 77.8509 0.00681692
140 75.5527 3.97615
146.77 70.6009 5.48387
139.85 70.8818 17.6894
140 70 16.4343
150 70 9.51312
141.63 66.4909 13.013
144.1 65.6409 6.14118
147 61.9609 8.46478
140 60 10.7769
140 57.8309 6.9165
140 50 27.779
150 50 6.96311
X The results saved at Tue Mar 29 21:28:52 2022

