X Y W
116.88 98.2909 1
-120 -40 0.5
-10 -100 0.5
90 -100 0.5
110 100 0.5
120 100 0.5
100 40 15.0228
100 30 1.06706
90 30 15.3647
110 20 15.6162
120 20 0.0506118
110 30 7.67991
120 30 2.0306
114.86 34.4609 2.67194
120 40 4.13661
130 40 27.1211
140 40 10.5362
140.23 38.3209 1.81503
150 40 1.1466
130 50 1.44406
140 50 0.226057
120 60 2.65515
131.36 55.5109 1.48268
130 60 23.0605
120 70 23.0021
118.3 68.2809 11.8641
140 60 23.8798
150 60 18.6344
130 70 22.5678
150 100 0.08
140 98.2218 0.0256
140 100 0.0128
142.37 96.4509 0.01024
132.7 98.9109 0.01024
130 100 0.00512
150 90 0.002048
150 80 4.29186
120 80 0.784923
133.68 80.6109 0.141581
140 80 1.04197
122.79 76.1509 1.33324
150 70 34.6341
140 71.3418 22.4898
140 70 17.2567
X The results saved at Tue Mar 29 21:25:08 2022

