X Y W
26.1732 89.3532 1
-130 -100 0.5
-130 -90 0.5
-130 -80 0.5
-130 -10 0.5
20 90 0.5
20 100 0.5
30 90 0.5
30 100 0.5
70 -100 0.5
70 -90 0.5
130 0 0.5
20 80 2.21756
11.1432 98.0032 0.01024
10 100 0.00512
11.6732 90 0.0016384
0 80 17.3594
10 70 34.7836
10 30 13.4852
0 30 11.3734
-9.6668 10.6232 6.48112
6.6364 7.2264 5.64277
10 0 7.37254
-20 -10 14.7428
-10 -10 17.258
0 -10 15.3752
10 -10 5.68826
20 0 26.3435
10 10 6.81188
12.6732 15.2832 10.3951
20 10 3.35226
10 20 15.0816
12.4232 18.4032 2.76452
30 10 0.0058732
20 20 4.92837
30 20 23.2699
20 30 2.17793
30 30 8.78272
36.2432 32.1132 14.9844
40 30 12.6289
30 40 22.3775
20 70 17.2804
40 40 2.27269
30 80 0.101381
20 60 0.92132
22.9064 62.1264 4.27736
30 70 11.0815
30.3932 58.9232 5.34813
30 60 9.62199
39.4832 72.4732 2.85833
40 70 19.3657
X The results saved at Tue Mar 29 21:09:53 2022

