x y w
-100.73679656440358 -3.0367965644035735 1.0
-3.1467965644035765 -94.01679656440358 1.0
110.58320343559643 -76.08679656440357 1.0
148.27320343559643 90.0 1.0
148.01320343559644 90.0 1.0
108.13320343559643 82.29320343559642 1.0
127.65640343559642 64.82640343559642 1.0
118.54620343559641 52.10640343559643 1.0
125.27320343559643 51.55320343559643 1.0
119.99320343559643 43.74320343559643 1.0
99.10320343559643 45.85320343559643 
129.17320343559643 56.153203435596424 1.0
133.69320343559642 47.78320343559643 1.0
140.0 80.54320343559642 1.0
140.0 54.976403435596424 1.0
140.0 34.74320343559643 1.0
140.0 67.53640343559643 1.0
140.0 43.003203435596426 1.0
140.0 67.58320343559643 1.0
140.62320343559642 78.68320343559643 1.0
140.0 72.16640343559642 
149.0062034355964 61.40640343559643 1.0
140.0 90.0 1.0
140.0 90.95320343559642 1.0
136.4362034355964 62.06640343559643 1.0
129.06920343559642 90.0 1.0
140.0 74.01320343559642 1.0
144.72320343559642 95.74320343559643 1.0
140.0 97.26640343559643 1.0
140.0 90.0 1.0
140.0 94.25320343559643 1.0
140.0 88.57320343559643 
140.0 59.31320343559643 
140.0 90.0 
100.53320343559642 59.91320343559643 1.0
136.95320343559644 75.75320343559642 1.0
94.48640343559643 56.966403435596426 1.0
129.79640343559643 61.62640343559642 1.0
x y 0.5
-150.0 -100.0 0.5
-150.0 -90.0 0.5
-150.0 -80.0 0.5
-150.0 -70.0 0.5
-150.0 -60.0 0.5
-150.0 -50.0 0.5
-150.0 -40.0 0.5
-150.0 -30.0 0.5
-150.0 -20.0 0.5
-150.0 -10.0 0.5
-150.0 0.0 0.5
-150.0 10.0 0.5
-150.0 20.0 0.5
-150.0 30.0 0.5
-150.0 40.0 0.5
-150.0 50.0 0.5
-150.0 60.0 0.5
-150.0 70.0 0.5
-150.0 80.0 0.5
-150.0 90.0 0.5
-150.0 100.0 0.5
-140.0 -100.0 0.5
-140.0 -90.0 0.5
-140.0 -80.0 0.5
-140.0 -70.0 0.5
-140.0 -60.0 0.5
-140.0 -50.0 0.5
-140.0 -40.0 0.5
-140.0 -30.0 0.5
-140.0 -20.0 0.5
-140.0 -10.0 0.5
-140.0 0.0 0.5
-140.0 10.0 0.5
-140.0 20.0 0.5
-140.0 30.0 0.5
-140.0 40.0 0.5
-140.0 50.0 0.5
-140.0 60.0 0.5
-140.0 70.0 0.5
-140.0 80.0 0.5
-140.0 90.0 0.5
-140.0 100.0 0.5
-130.0 -100.0 0.5
-130.0 -90.0 0.5
-130.0 -80.0 0.5
-130.0 -70.0 0.5
-130.0 -60.0 0.5
-130.0 -50.0 0.5
-130.0 -40.0 0.5
-130.0 -30.0 0.5
-130.0 -20.0 0.5
-130.0 -10.0 0.5
-130.0 0.0 0.5
-130.0 10.0 0.5
-130.0 20.0 0.5
-130.0 30.0 0.5
-130.0 40.0 0.5
-130.0 50.0 0.5
-130.0 60.0 0.5
-130.0 70.0 0.5
-130.0 80.0 0.5
-130.0 90.0 0.5
-130.0 100.0 0.5
-120.0 -100.0 0.5
-120.0 -90.0 0.5
-120.0 -80.0 0.5
-120.0 -70.0 0.5
-120.0 -60.0 0.5
-120.0 -50.0 0.5
-120.0 -40.0 0.5
-120.0 -30.0 0.5
-120.0 -20.0 0.5
-120.0 -10.0 0.5
-120.0 0.0 0.5
-120.0 10.0 0.5
-120.0 20.0 0.5
-120.0 30.0 0.5
-120.0 40.0 0.5
-120.0 50.0 0.5
-120.0 60.0 0.5
-120.0 70.0 0.5
-120.0 80.0 0.5
-120.0 90.0 0.5
-120.0 100.0 0.5
-110.0 -100.0 0.5
-110.0 -90.0 0.5
-110.0 -80.0 0.5
-110.0 -70.0 0.5
-110.0 -60.0 0.5
-110.0 -50.0 0.5
-110.0 -40.0 0.5
-110.0 -30.0 0.5
-110.0 -20.0 0.5
-110.0 -10.0 0.5
-110.0 0.0 0.5
-110.0 10.0 0.5
-110.0 20.0 0.5
-110.0 30.0 0.5
-110.0 40.0 0.5
-110.0 50.0 0.5
-110.0 60.0 0.5
-110.0 70.0 0.5
-110.0 80.0 0.5
-110.0 90.0 0.5
-110.0 100.0 0.5
-100.0 -100.0 0.5
-100.0 -90.0 0.5
-100.0 -80.0 0.5
-100.0 -70.0 0.5
-100.0 -60.0 0.5
-100.0 -50.0 0.5
-100.0 -40.0 0.5
-100.0 -30.0 0.5
-100.0 -20.0 0.5
-100.0 -10.0 0.5
-100.0 0.0 0.5
-100.0 10.0 0.5
-100.0 20.0 0.5
-100.0 30.0 0.5
-100.0 40.0 0.5
-100.0 50.0 0.5
-100.0 60.0 0.5
-100.0 70.0 0.5
-100.0 80.0 0.5
-100.0 90.0 0.5
-100.0 100.0 0.5
-90.0 -100.0 0.5
-90.0 -90.0 0.5
-90.0 -80.0 0.5
-90.0 -70.0 0.5
-90.0 -60.0 0.5
-90.0 -50.0 0.5
-90.0 -40.0 0.5
-90.0 -30.0 0.5
-90.0 -20.0 0.5
-90.0 -10.0 0.5
-90.0 0.0 0.5
-90.0 10.0 0.5
-90.0 20.0 0.5
-90.0 30.0 0.5
-90.0 40.0 0.5
-90.0 50.0 0.5
-90.0 60.0 0.5
-90.0 70.0 0.5
-90.0 80.0 0.5
-90.0 90.0 0.5
-90.0 100.0 0.5
-80.0 -100.0 0.5
-80.0 -90.0 0.5
-80.0 -80.0 0.5
-80.0 -70.0 0.5
-80.0 -60.0 0.5
-80.0 -50.0 0.5
-80.0 -40.0 0.5
-80.0 -30.0 0.5
-80.0 -20.0 0.5
-80.0 -10.0 0.5
-80.0 0.0 0.5
-80.0 10.0 0.5
-80.0 20.0 0.5
-80.0 30.0 0.5
-80.0 40.0 0.5
-80.0 50.0 0.5
-80.0 60.0 0.5
-80.0 70.0 0.5
-80.0 80.0 0.5
-80.0 90.0 0.5
-80.0 100.0 0.5
-70.0 -100.0 0.5
-70.0 -90.0 0.5
-70.0 -80.0 0.5
-70.0 -70.0 0.5
-70.0 -60.0 0.5
-70.0 -50.0 0.5
-70.0 -40.0 0.5
-70.0 -30.0 0.5
-70.0 -20.0 0.5
-70.0 -10.0 0.5
-70.0 0.0 0.5
-70.0 10.0 0.5
-70.0 20.0 0.5
-70.0 30.0 0.5
-70.0 40.0 0.5
-70.0 50.0 0.5
-70.0 60.0 0.5
-70.0 70.0 0.5
-70.0 80.0 0.5
-70.0 90.0 0.5
-70.0 100.0 0.5
-60.0 -100.0 0.5
-60.0 -90.0 0.5
-60.0 -80.0 0.5
-60.0 -70.0 0.5
-60.0 -60.0 0.5
-60.0 -50.0 0.5
-60.0 -40.0 0.5
-60.0 -30.0 0.5
-60.0 -20.0 0.5
-60.0 -10.0 0.5
-60.0 0.0 0.5
-60.0 10.0 0.5
-60.0 20.0 0.5
-60.0 30.0 0.5
-60.0 40.0 0.5
-60.0 50.0 0.5
-60.0 60.0 0.5
-60.0 70.0 0.5
-60.0 80.0 0.5
-60.0 90.0 0.5
-60.0 100.0 0.5
-50.0 -100.0 0.5
-50.0 -90.0 0.5
-50.0 -80.0 0.5
-50.0 -70.0 0.5
-50.0 -60.0 0.5
-50.0 -50.0 0.5
-50.0 -40.0 0.5
-50.0 -30.0 0.5
-50.0 -20.0 0.5
-50.0 -10.0 0.5
-50.0 0.0 0.5
-50.0 10.0 0.5
-50.0 20.0 0.5
-50.0 30.0 0.5
-50.0 40.0 0.5
-50.0 50.0 0.5
-50.0 60.0 0.5
-50.0 70.0 0.5
-50.0 80.0 0.5
-50.0 90.0 0.5
-50.0 100.0 0.5
-40.0 -100.0 0.5
-40.0 -90.0 0.5
-40.0 -80.0 0.5
-40.0 -70.0 0.5
-40.0 -60.0 0.5
-40.0 -50.0 0.5
-40.0 -40.0 0.5
-40.0 -30.0 0.5
-40.0 -20.0 0.5
-40.0 -10.0 0.5
-40.0 0.0 0.5
-40.0 10.0 0.5
-40.0 20.0 0.5
-40.0 30.0 0.5
-40.0 40.0 0.5
-40.0 50.0 0.5
-40.0 60.0 0.5
-40.0 70.0 0.5
-40.0 80.0 0.5
-40.0 90.0 0.5
-40.0 100.0 0.5
-30.0 -100.0 0.5
-30.0 -90.0 0.5
-30.0 -80.0 0.5
-30.0 -70.0 0.5
-30.0 -60.0 0.5
-30.0 -50.0 0.5
-30.0 -40.0 0.5
-30.0 -30.0 0.5
-30.0 -20.0 0.5
-30.0 -10.0 0.5
-30.0 0.0 0.5
-30.0 10.0 0.5
-30.0 20.0 0.5
-30.0 30.0 0.5
-30.0 40.0 0.5
-30.0 50.0 0.5
-30.0 60.0 0.5
-30.0 70.0 0.5
-30.0 80.0 0.5
-30.0 90.0 0.5
-30.0 100.0 0.5
-20.0 -100.0 0.5
-20.0 -90.0 0.5
-20.0 -80.0 0.5
-20.0 -70.0 0.5
-20.0 -60.0 0.5
-20.0 -50.0 0.5
-20.0 -40.0 0.5
-20.0 -30.0 0.5
-20.0 -20.0 0.5
-20.0 -10.0 0.5
-20.0 0.0 0.5
-20.0 10.0 0.5
-20.0 20.0 0.5
-20.0 30.0 0.5
-20.0 40.0 0.5
-20.0 50.0 0.5
-20.0 60.0 0.5
-20.0 70.0 0.5
-20.0 80.0 0.5
-20.0 90.0 0.5
-20.0 100.0 0.5
-10.0 -100.0 0.5
-10.0 -90.0 0.5
-10.0 -80.0 0.5
-10.0 -70.0 0.5
-10.0 -60.0 0.5
-10.0 -50.0 0.5
-10.0 -40.0 0.5
-10.0 -30.0 0.5
-10.0 -20.0 0.5
-10.0 -10.0 0.5
-10.0 0.0 0.5
-10.0 10.0 0.5
-10.0 20.0 0.5
-10.0 30.0 0.5
-10.0 40.0 0.5
-10.0 50.0 0.5
-10.0 60.0 0.5
-10.0 70.0 0.5
-10.0 80.0 0.5
-10.0 90.0 0.5
-10.0 100.0 0.5
0.0 -100.0 0.5
0.0 -90.0 0.5
0.0 -80.0 0.5
0.0 -70.0 0.5
0.0 -60.0 0.5
0.0 -50.0 0.5
0.0 -40.0 0.5
0.0 -30.0 0.5
0.0 -20.0 0.5
