X Y W
-90 100 0.5
-30 -100 0.5
40 -100 0.5
90 -100 0.5
-105.127 -35.9468 6.77279
-110 -40 7.85915
-100 -40 7.19522
-70 -30 14.9641
-80 -30 19.5485
-80 -20 13.7011
-68.5638 -22.5936 2.85721
-77.9838 -16.4336 10.9467
-84.9168 -13.0668 5.03448
-60 -10 3.84143
-70 -10 11.0948
-80 -10 15.5265
-60 0 16.1987
-50 0 18.8841
-68.7436 -0.203597 1.37394
-73.7768 0.623203 1.53993
-63.2136 7.18641 2.16926
-60 10 0.118099
-50 10 0.878789
-70 30 1.19587
-80 40 18.8843
-70 40 1.53785
-90 50 10.7376
-80 50 19.5365
-72.5338 47.2264 0.169085
-72.2568 49.7432 7.60807
-70 50 2.4876
-60 50 0.00314196
-50 50 2.15702
-64.4638 57.6464 10.9452
-57.3536 55.6264 3.82595
-70 60 10.1849
-60 60 14.7152
X The results saved at Tue Mar 29 20:58:36 2022

