X Y W
-118.579 -42.0967 1
-116.812 -42.894 1
-115.046 -43.6914 1
-115.836 -45.4321 1
-116.626 -47.1728 1
-117.415 -48.9135 1
-113.28 -44.4887 1
-114.07 -46.2294 1
-114.86 -47.9701 1
-111.514 -45.286 1
-112.304 -47.0267 1
-113.093 -48.7675 1
-113.513 -46.4056 1
-114.358 -48.1437 1
-111.77 -47.2523 1
-112.615 -48.9903 1
-113.412 -46.1322 1
-129.937 -21.9421 1
-130.896 -23.5623 1
-126.337 -19.5972 1
-127.295 -21.2174 1
-128.254 -22.8376 1
-129.213 -24.4578 1
-130.172 -26.078 1
-123.695 -18.8726 1
-124.654 -20.4928 1
-125.613 -22.113 1
-126.571 -23.7332 1
-127.53 -25.3534 1
-128.489 -26.9736 1
-122.012 -19.7682 1
-122.971 -21.3884 1
-123.93 -23.0086 1
-124.888 -24.6288 1
-119.37 -19.0436 1
-120.329 -20.6637 1
-121.288 -22.2839 1
-122.247 -23.9041 1
-123.206 -25.5243 1
-85.9167 52.9183 1
-84.7335 51.7815 1
-83.0292 50.8556 1
-85.9642 54.23 1
-86.9312 52.549 1
-84.2832 53.2629 1
-85.2502 51.582 1
-82.6022 52.2958 1
-83.5692 50.6149 1
-81.8882 49.6478 1
-74.7054 53.616 1
-87.1841 58.93 1
-88.1882 57.2712 1
-89.1924 55.6125 1
-90.1965 53.9537 1
-85.5449 57.9339 1
-86.549 56.2751 1
-87.5532 54.6164 1
-88.5573 52.9576 1
-83.9057 56.9378 1
-84.9098 55.279 1
-85.9139 53.6203 1
-86.9181 51.9615 1
-82.2664 55.9417 1
-83.2706 54.2829 1
-84.2747 52.6242 1
-85.2789 50.9654 1
-78.6189 58.2631 1
-80.6272 54.9456 1
-82.6355 51.6281 1
-83.6397 49.9693 1
-75.9756 58.9258 1
-76.9797 57.267 1
-77.9839 55.6082 1
-80.9963 50.6319 1
-82.0004 48.9732 1
-75.3405 56.2709 1
-78.3529 51.2946 1
-79.3571 49.6358 1
-80.3612 47.9771 1
-77.7179 48.6397 1
-78.722 46.981 1
-76.2416 65.8943 1
-72.5941 68.2157 1
