X Y W
-28.6082 -9.07063 1
-26.8277 -8.33243 1
-24.6163 -11.2815 1
-27.1486 -10.2585 1
-26.1357 -7.72169 1
-25.8897 -8.91585 1
-24.7236 -20.2437 1
-26.6216 -20.9369 1
-26.0218 -16.6445 1
-27.3876 -19.1608 1
-26.1567 -16.7113 1
-25.1119 -20.6057 1
-25.7052 -18.7572 1
-26.5434 -21.6851 1
-27.5853 -17.9458 1
-27.248 -17.8163 1
-25.015 -18.8726 1
-25.4846 -16.9918 1
-24.9244 -10.6785 1
-25.8176 -6.90672 1
-24.5773 -20.5545 1
-22.6914 -20.108 1
-26.9098 -19.1152 1
-25.0239 -18.6686 1
-23.5846 -16.3362 1
-26.9851 -11.2092 1
-25.0936 -10.7871 1
-23.2021 -10.365 1
-23.6241 -8.47351 1
-26.7662 -21.0888 1
-22.9832 -20.2446 1
-25.2968 -18.7752 1
-27.1779 -11.3011 1
-23.3836 -10.5065 1
-23.7809 -8.60935 1
-21.8838 -8.21205 1
-23.6916 -18.4923 1
-25.9861 -16.9925 1
-24.0889 -16.5952 1
-26.3276 -9.27134 1
-24.4636 -8.90443 1
-22.5996 -8.53753 1
-26.7029 -7.36977 1
-24.8389 -7.00286 1
-19.2469 -5.90213 1
-27.0782 -5.46819 1
-25.2142 -5.10128 1
-23.3501 -4.73438 1
-21.4861 -4.36747 1
-19.6221 -4.00056 1
-18.1334 -1.73207 1
-20.3727 -0.197408 1
-24.8266 -16.8776 1
-27.0658 -15.343 1
-25.2018 -14.9761 1
-27.1956 -11.3623 1
-25.2941 -10.99 1
-23.3926 -10.6177 1
-19.5896 -9.87304 1
-27.5681 -9.46003 1
-25.6666 -9.08772 1
-27.9405 -7.55777 1
-26.039 -7.18546 1
-22.236 -6.44084 1
-20.3345 -6.06853 1
-26.3865 -13.063 1
-24.8732 -10.7781 1
-22.9748 -10.3933 1
-21.0764 -10.0085 1
-25.2583 -8.87809 1
-23.3599 -8.49328 1
-21.4615 -8.10848 1
-26.1112 -10.8913 1
-24.2149 -10.4904 1
-22.3185 -10.0896 1
-20.4222 -9.68868 1
-24.6158 -8.59361 1
-23.6031 -8.17275 1
-21.7092 -7.75662 1
4.46543 65.7622 1
1.64762 72.9847 1
6.71056 66.5354 1
5.96426 68.3241 1
1.19018 74.7328 1
2.97907 75.4791 1
7.89945 64.8833 1
7.11344 66.6567 1
6.32742 68.4302 1
8.10098 69.2162 1
7.31497 70.9897 1
2.19582 72.9644 1
1.4098 74.7378 1
9.21876 67.6189 1
