,x,y,MonthYear,Zscore,Year,Month,Hotspot Prob
119182,-70.0894881675058,44.1720043455534,2016-07-01,-0.847014028677785,2016,7,50
119183,-70.0891131675058,44.1720043455534,2016-07-01,-1.40141769902233,2016,7,5
119184,-70.0898631675058,44.1717343455534,2016-07-01,-1.23944103717804,2016,7,5
119185,-70.0894881675058,44.1717343455534,2016-07-01,-0.852422058052833,2016,7,50
119186,-70.0891131675058,44.1717343455534,2016-07-01,-1.39355627773926,2016,7,5
119187,-70.0906131675058,44.1714643455534,2016-07-01,-1.96029758453369,2016,7,1
119188,-70.0902381675058,44.1714643455534,2016-07-01,-1.77708454022454,2016,7,5
119189,-70.0898631675058,44.1714643455534,2016-07-01,-1.50103230259005,2016,7,5
119190,-70.0894881675058,44.1714643455534,2016-07-01,-1.1907982924443,2016,7,5
119191,-70.0891131675058,44.1714643455534,2016-07-01,-1.59793762370781,2016,7,5
119192,-70.0887381675058,44.1714643455534,2016-07-01,-1.421647994093,2016,7,5
119193,-70.0883631675058,44.1714643455534,2016-07-01,-1.66460297761501,2016,7,5
119194,-70.0909881675058,44.1711943455534,2016-07-01,-2.14655160903931,2016,7,1
119195,-70.0906131675058,44.1711943455534,2016-07-01,-2.40517895458549,2016,7,1
119196,-70.0902381675058,44.1711943455534,2016-07-01,-2.49666321749326,2016,7,1
119197,-70.0898631675058,44.1711943455534,2016-07-01,-2.52611418675908,2016,7,1
119198,-70.0894881675058,44.1711943455534,2016-07-01,-2.57769709323718,2016,7,1
119199,-70.0891131675058,44.1711943455534,2016-07-01,-2.75887250433209,2016,7,1
119200,-70.0887381675058,44.1711943455534,2016-07-01,-2.27103294295726,2016,7,1
119201,-70.0883631675058,44.1711943455534,2016-07-01,-1.98130847408,2016,7,1
119202,-70.0879881675058,44.1711943455534,2016-07-01,-1.26433208409578,2016,7,5
119203,-70.0876131675058,44.1711943455534,2016-07-01,1.08202265492554,2016,7,95
119204,-70.0872381675058,44.1711943455534,2016-07-01,0.724406514951753,2016,7,50
119205,-70.0909881675058,44.1709243455534,2016-07-01,-2.23162979730118,2016,7,1
119206,-70.0906131675058,44.1709243455534,2016-07-01,-2.77770544496899,2016,7,1
119207,-70.0902381675058,44.1709243455534,2016-07-01,-2.94439428504759,2016,7,1
119208,-70.0898631675058,44.1709243455534,2016-07-01,-3.01500507391738,2016,7,1
119209,-70.0894881675058,44.1709243455534,2016-07-01,-3.11848386494879,2016,7,1
119210,-70.0891131675058,44.1709243455534,2016-07-01,-3.23054438286617,2016,7,1
119211,-70.0887381675058,44.1709243455534,2016-07-01,-3.07153913798566,2016,7,1
119212,-70.0883631675058,44.1709243455534,2016-07-01,-2.79355354982917,2016,7,1
119213,-70.0879881675058,44.1709243455534,2016-07-01,-2.08480415844518,2016,7,1
119214,-70.0876131675058,44.1709243455534,2016-07-01,0.398803537666321,2016,7,50
119215,-70.0872381675058,44.1709243455534,2016-07-01,0.571920621867316,2016,7,50
119216,-70.0868631675058,44.1709243455534,2016-07-01,0.598602967204492,2016,7,50
119217,-70.0909881675058,44.1706543455534,2016-07-01,-2.33755696258468,2016,7,1
119218,-70.0906131675058,44.1706543455534,2016-07-01,-2.89310712435116,2016,7,1
119219,-70.0902381675058,44.1706543455534,2016-07-01,-2.96703471131331,2016,7,1
119220,-70.0898631675058,44.1706543455534,2016-07-01,-3.00424583454492,2016,7,1
119221,-70.0894881675058,44.1706543455534,2016-07-01,-3.0791496913803,2016,7,1
119222,-70.0891131675058,44.1706543455534,2016-07-01,-3.19064073111742,2016,7,1
119223,-70.0887381675058,44.1706543455534,2016-07-01,-3.26499966782089,2016,7,1
119224,-70.0883631675058,44.1706543455534,2016-07-01,-3.28089081226346,2016,7,1
119225,-70.0879881675058,44.1706543455534,2016-07-01,-3.00820282400808,2016,7,1
119226,-70.0876131675058,44.1706543455534,2016-07-01,-1.76867111861872,2016,7,5
119227,-70.0872381675058,44.1706543455534,2016-07-01,-1.40356365054449,2016,7,5
119228,-70.0868631675058,44.1706543455534,2016-07-01,-1.6621162145805,2016,7,5
119229,-70.0864881675058,44.1706543455534,2016-07-01,-2.00467516317645,2016,7,1
119230,-70.0909881675058,44.1703843455534,2016-07-01,-2.39715133330421,2016,7,1
119231,-70.0906131675058,44.1703843455534,2016-07-01,-2.91348089303434,2016,7,1
119232,-70.0902381675058,44.1703843455534,2016-07-01,-2.93959851188797,2016,7,1
119233,-70.0898631675058,44.1703843455534,2016-07-01,-2.93170428222627,2016,7,1
119234,-70.0894881675058,44.1703843455534,2016-07-01,-2.99639779062205,2016,7,1
119235,-70.0891131675058,44.1703843455534,2016-07-01,-3.113894921906,2016,7,1
119236,-70.0887381675058,44.1703843455534,2016-07-01,-3.22842011056449,2016,7,1
119237,-70.0883631675058,44.1703843455534,2016-07-01,-3.34409376200254,2016,7,1
119238,-70.0879881675058,44.1703843455534,2016-07-01,-3.39735314153619,2016,7,1
119239,-70.0876131675058,44.1703843455534,2016-07-01,-3.24660661000209,2016,7,1
119240,-70.0872381675058,44.1703843455534,2016-07-01,-3.14798670703088,2016,7,1
119241,-70.0868631675058,44.1703843455534,2016-07-01,-2.9149885775602,2016,7,1
119242,-70.0864881675058,44.1703843455534,2016-07-01,-2.67390125839066,2016,7,1
119243,-70.0861131675058,44.1703843455534,2016-07-01,-2.57877269921655,2016,7,1
119244,-70.0857381675058,44.1703843455534,2016-07-01,-1.77451245900734,2016,7,5
119245,-70.0853631675058,44.1703843455534,2016-07-01,-2.13471523572171,2016,7,1
