,Unnamed: 0,x,y,MonthYear,Zscore,Year,Month,Hotspot Prob
0,102156,-70.0894881675058,44.1720043455534,2016-05-01,-0.621119998483844,2016,5,2022.2096813830021
1,102157,-70.0891131675058,44.1720043455534,2016-05-01,-0.0291441529477454,2016,5,2022.2096813830021
2,102158,-70.0898631675058,44.1717343455534,2016-05-01,-0.760308735072613,2016,5,2022.2096813830021
3,102159,-70.0894881675058,44.1717343455534,2016-05-01,-0.623038155898708,2016,5,2022.2096813830021
4,102160,-70.0891131675058,44.1717343455534,2016-05-01,-0.0372280843901176,2016,5,2022.2096813830021
5,102161,-70.0906131675058,44.1714643455534,2016-05-01,-1.85401847958565,2016,5,202.2209681383002
6,102162,-70.0902381675058,44.1714643455534,2016-05-01,-1.83296568771407,2016,5,202.2209681383002
7,102163,-70.0898631675058,44.1714643455534,2016-05-01,-1.23591076457002,2016,5,202.2209681383002
8,102164,-70.0894881675058,44.1714643455534,2016-05-01,-0.740841647422217,2016,5,2022.2096813830021
9,102165,-70.0891131675058,44.1714643455534,2016-05-01,-0.361760283484033,2016,5,2022.2096813830021
10,102166,-70.0887381675058,44.1714643455534,2016-05-01,-0.386481715849788,2016,5,2022.2096813830021
11,102167,-70.0883631675058,44.1714643455534,2016-05-01,-0.523234208494495,2016,5,2022.2096813830021
12,102168,-70.0909881675058,44.1711943455534,2016-05-01,-1.75795370340347,2016,5,202.2209681383002
13,102169,-70.0906131675058,44.1711943455534,2016-05-01,-2.02324766515108,2016,5,40.44419362766004
14,102170,-70.0902381675058,44.1711943455534,2016-05-01,-1.95892490351896,2016,5,202.2209681383002
15,102171,-70.0898631675058,44.1711943455534,2016-05-01,-1.62750698264794,2016,5,202.2209681383002
16,102172,-70.0894881675058,44.1711943455534,2016-05-01,-0.980618203960068,2016,5,2022.2096813830021
17,102173,-70.0891131675058,44.1711943455534,2016-05-01,-0.638622986269336,2016,5,2022.2096813830021
18,102174,-70.0887381675058,44.1711943455534,2016-05-01,-0.441228833342227,2016,5,2022.2096813830021
19,102175,-70.0883631675058,44.1711943455534,2016-05-01,-0.463311447244862,2016,5,2022.2096813830021
20,102176,-70.0879881675058,44.1711943455534,2016-05-01,-0.5440473275521,2016,5,2022.2096813830021
21,102177,-70.0876131675058,44.1711943455534,2016-05-01,-0.826593677143068,2016,5,2022.2096813830021
22,102178,-70.0872381675058,44.1711943455534,2016-05-01,-0.630333307354543,2016,5,2022.2096813830021
23,102179,-70.0909881675058,44.1709243455534,2016-05-01,-1.71319413420858,2016,5,202.2209681383002
24,102180,-70.0906131675058,44.1709243455534,2016-05-01,-2.00391075646043,2016,5,40.44419362766004
25,102181,-70.0902381675058,44.1709243455534,2016-05-01,-1.92400419097639,2016,5,202.2209681383002
26,102182,-70.0898631675058,44.1709243455534,2016-05-01,-1.60992676884725,2016,5,202.2209681383002
27,102183,-70.0894881675058,44.1709243455534,2016-05-01,-1.19048465619653,2016,5,202.2209681383002
28,102184,-70.0891131675058,44.1709243455534,2016-05-01,-0.903652174542382,2016,5,2022.2096813830021
29,102185,-70.0887381675058,44.1709243455534,2016-05-01,-0.723331435261315,2016,5,2022.2096813830021
30,102186,-70.0883631675058,44.1709243455534,2016-05-01,-0.709290613544448,2016,5,2022.2096813830021
31,102187,-70.0879881675058,44.1709243455534,2016-05-01,-0.779738070780306,2016,5,2022.2096813830021
32,102188,-70.0876131675058,44.1709243455534,2016-05-01,-0.959277722727591,2016,5,2022.2096813830021
33,102189,-70.0872381675058,44.1709243455534,2016-05-01,-0.762557161870658,2016,5,2022.2096813830021
34,102190,-70.0868631675058,44.1709243455534,2016-05-01,-0.699146565354799,2016,5,2022.2096813830021
35,102191,-70.0909881675058,44.1706543455534,2016-05-01,-1.42935616604204,2016,5,202.2209681383002
36,102192,-70.0906131675058,44.1706543455534,2016-05-01,-1.58035554581646,2016,5,202.2209681383002
37,102193,-70.0902381675058,44.1706543455534,2016-05-01,-1.40743407913618,2016,5,202.2209681383002
38,102194,-70.0898631675058,44.1706543455534,2016-05-01,-1.15740453935817,2016,5,202.2209681383002
39,102195,-70.0894881675058,44.1706543455534,2016-05-01,-0.938879152088932,2016,5,2022.2096813830021
40,102196,-70.0891131675058,44.1706543455534,2016-05-01,-0.733698470532496,2016,5,2022.2096813830021
41,102197,-70.0887381675058,44.1706543455534,2016-05-01,-0.548168951611194,2016,5,2022.2096813830021
42,102198,-70.0883631675058,44.1706543455534,2016-05-01,-0.447983898719803,2016,5,2022.2096813830021
43,102199,-70.0879881675058,44.1706543455534,2016-05-01,-0.524392738734958,2016,5,2022.2096813830021
44,102200,-70.0876131675058,44.1706543455534,2016-05-01,-0.687458736440809,2016,5,2022.2096813830021
45,102201,-70.0872381675058,44.1706543455534,2016-05-01,-0.663772736023711,2016,5,2022.2096813830021
46,102202,-70.0868631675058,44.1706543455534,2016-05-01,-0.788398619366823,2016,5,2022.2096813830021
47,102203,-70.0864881675058,44.1706543455534,2016-05-01,-0.755339869798562,2016,5,2022.2096813830021
48,102204,-70.0909881675058,44.1703843455534,2016-05-01,-1.07085024410507,2016,5,202.2209681383002
49,102205,-70.0906131675058,44.1703843455534,2016-05-01,-1.13717625890644,2016,5,202.2209681383002
50,102206,-70.0902381675058,44.1703843455534,2016-05-01,-0.934941045122583,2016,5,2022.2096813830021
51,102207,-70.0898631675058,44.1703843455534,2016-05-01,-0.702700093602953,2016,5,2022.2096813830021
52,102208,-70.0894881675058,44.1703843455534,2016-05-01,-0.43079045381468,2016,5,2022.2096813830021
