X Y W
-98.7271 -46.3605 1
-100.484 -47.1839 1
-98.8484 -44.4074 1
-100.624 -45.1885 1
-102.4 -45.9696 1
-105.952 -47.5319 1
-98.0672 -46.1833 1
-99.8431 -46.9644 1
-101.619 -47.7456 1
-93.5205 -42.064 1
-95.2964 -42.8452 1
-94.2436 -40.1844 1
-96.0209 -40.9593 1
-97.7981 -41.7342 1
-99.5753 -42.5091 1
-101.353 -43.284 1
-103.13 -44.0589 1
-104.907 -44.8338 1
-106.684 -45.6087 1
-108.461 -46.3836 1
-93.4687 -41.9616 1
-95.2459 -42.7365 1
-98.8004 -44.2863 1
-100.578 -45.0612 1
-102.355 -45.8361 1
-104.132 -46.611 1
-105.909 -47.3859 1
-98.0255 -46.0635 1
-99.8027 -46.8384 1
-101.58 -47.6133 1
-93.6258 -37.5385 1
-95.3952 -38.3289 1
-97.1645 -39.1192 1
-98.9338 -39.9096 1
-100.703 -40.7 1
-102.473 -41.4904 1
-104.242 -42.2808 1
-106.011 -43.0712 1
-107.781 -43.8615 1
-94.6048 -40.0982 1
-96.3741 -40.8886 1
-98.1435 -41.679 1
-99.9128 -42.4693 1
-101.682 -43.2597 1
-103.451 -44.0501 1
-105.221 -44.8405 1
-106.99 -45.6309 1
-108.759 -46.4212 1
-93.8144 -41.8675 1
-95.5837 -42.6579 1
-99.1224 -44.2387 1
-100.892 -45.029 1
-102.661 -45.8194 1
-104.43 -46.6098 1
-106.2 -47.4002 1
-98.332 -46.008 1
-100.101 -46.7984 1
-101.871 -47.5888 1
-127.528 -52.7989 1
-96.6348 -36.4874 1
-98.396 -37.2957 1
-100.157 -38.1041 1
-101.918 -38.9124 1
-103.68 -39.7208 1
-105.441 -40.5292 1
-107.202 -41.3375 1
-95.8265 -38.2486 1
-97.5876 -39.0569 1
-99.3488 -39.8653 1
-101.11 -40.6736 1
-102.871 -41.482 1
-104.632 -42.2903 1
-106.393 -43.0987 1
-108.155 -43.907 1
-95.0181 -40.0097 1
-96.7793 -40.8181 1
-98.5404 -41.6264 1
-100.302 -42.4348 1
